case,tick,source,target,effect,basic,requested,resolved
orc_mage_direct_bonuses_add_not_multiply,22,1048676,3,0,1,0,0
orc_mage_direct_bonuses_add_not_multiply,22,2,1048676,0,1,0,0
orc_mage_direct_bonuses_add_not_multiply,22,1,1048676,0,0,10000,13000
orc_mage_direct_bonuses_add_not_multiply,24,1,1048676,0,1,10000,11000
priest_support_once_effect1,2,3,1048676,0,1,0,0
priest_support_once_effect1,2,1,1048676,0,1,0,0
priest_support_once_effect1,2,2,1048676,0,1,0,0
priest_support_once_effect1,2,1048676,3,0,0,30000,30000
priest_support_once_effect1,2,1048676,1,0,0,30000,30000
priest_support_once_effect1,2,1048676,2,0,0,30000,30000
priest_support_once_effect1,4,1048676,3,0,1,0,0
priest_support_once_effect1,22,3,1048676,0,1,0,0
priest_support_once_effect1,22,1,3,1,0,11500,11500
priest_support_once_effect1,22,1,1,1,0,11500,11500
priest_support_once_effect1,22,1,2,1,0,11500,11500
priest_support_once_effect1,22,2,1048676,0,1,0,0
priest_support_once_effect1,24,1,1048676,0,1,0,0
priest_support_once_effect1,24,1048676,3,0,1,0,0
orc_mage_do_not_boost_support_effect1,2,3,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect1,2,1,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect1,2,2,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect1,2,1048676,3,0,0,30000,30000
orc_mage_do_not_boost_support_effect1,2,1048676,1,0,0,30000,30000
orc_mage_do_not_boost_support_effect1,2,1048676,2,0,0,30000,30000
orc_mage_do_not_boost_support_effect1,4,1048676,3,0,1,0,0
orc_mage_do_not_boost_support_effect1,22,3,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect1,22,1,3,1,0,10000,10000
orc_mage_do_not_boost_support_effect1,22,1,1,1,0,10000,10000
orc_mage_do_not_boost_support_effect1,22,1,2,1,0,10000,10000
orc_mage_do_not_boost_support_effect1,22,2,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect1,24,1,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect1,24,1048676,3,0,1,0,0
priest_support_once_effect2,2,3,1048676,0,1,0,0
priest_support_once_effect2,2,1,1048676,0,1,0,0
priest_support_once_effect2,2,2,1048676,0,1,0,0
priest_support_once_effect2,2,1048676,3,0,0,30000,30000
priest_support_once_effect2,2,1048676,1,0,0,30000,30000
priest_support_once_effect2,2,1048676,2,0,0,30000,30000
priest_support_once_effect2,4,1048676,3,0,1,0,0
priest_support_once_effect2,22,3,1048676,0,1,0,0
priest_support_once_effect2,22,1,3,2,0,11500,11500
priest_support_once_effect2,22,1,1,2,0,11500,11500
priest_support_once_effect2,22,1,2,2,0,11500,11500
priest_support_once_effect2,22,2,1048676,0,1,0,0
priest_support_once_effect2,24,1,1048676,0,1,0,0
priest_support_once_effect2,24,1048676,3,0,1,0,0
orc_mage_do_not_boost_support_effect2,2,3,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect2,2,1,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect2,2,2,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect2,2,1048676,3,0,0,30000,30000
orc_mage_do_not_boost_support_effect2,2,1048676,1,0,0,30000,30000
orc_mage_do_not_boost_support_effect2,2,1048676,2,0,0,30000,30000
orc_mage_do_not_boost_support_effect2,4,1048676,3,0,1,0,0
orc_mage_do_not_boost_support_effect2,22,3,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect2,22,1,3,2,0,10000,10000
orc_mage_do_not_boost_support_effect2,22,1,1,2,0,10000,10000
orc_mage_do_not_boost_support_effect2,22,1,2,2,0,10000,10000
orc_mage_do_not_boost_support_effect2,22,2,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect2,24,1,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect2,24,1048676,3,0,1,0,0
priest_support_once_effect5,2,3,1048676,0,1,0,0
priest_support_once_effect5,2,1,1048676,0,1,0,0
priest_support_once_effect5,2,2,1048676,0,1,0,0
priest_support_once_effect5,2,1048676,3,0,0,30000,30000
priest_support_once_effect5,2,1048676,1,0,0,30000,30000
priest_support_once_effect5,2,1048676,2,0,0,30000,30000
priest_support_once_effect5,4,1048676,3,0,1,0,0
priest_support_once_effect5,22,3,1048676,0,1,0,0
priest_support_once_effect5,22,1,3,5,0,575,575
priest_support_once_effect5,22,1,1,5,0,575,575
priest_support_once_effect5,22,1,2,5,0,575,575
priest_support_once_effect5,22,2,1048676,0,1,0,0
priest_support_once_effect5,24,1,1048676,0,1,0,0
priest_support_once_effect5,24,1048676,3,0,1,0,0
orc_mage_do_not_boost_support_effect5,2,3,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect5,2,1,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect5,2,2,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect5,2,1048676,3,0,0,30000,30000
orc_mage_do_not_boost_support_effect5,2,1048676,1,0,0,30000,30000
orc_mage_do_not_boost_support_effect5,2,1048676,2,0,0,30000,30000
orc_mage_do_not_boost_support_effect5,4,1048676,3,0,1,0,0
orc_mage_do_not_boost_support_effect5,22,3,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect5,22,1,3,5,0,500,500
orc_mage_do_not_boost_support_effect5,22,1,1,5,0,500,500
orc_mage_do_not_boost_support_effect5,22,1,2,5,0,500,500
orc_mage_do_not_boost_support_effect5,22,2,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect5,24,1,1048676,0,1,0,0
orc_mage_do_not_boost_support_effect5,24,1048676,3,0,1,0,0
priest_does_not_boost_negative_modifier,2,3,1048676,0,1,0,0
priest_does_not_boost_negative_modifier,2,1,1048676,0,1,0,0
priest_does_not_boost_negative_modifier,2,2,1048676,0,1,0,0
priest_does_not_boost_negative_modifier,2,1048676,3,0,0,30000,30000
priest_does_not_boost_negative_modifier,2,1048676,1,0,0,30000,30000
priest_does_not_boost_negative_modifier,2,1048676,2,0,0,30000,30000
priest_does_not_boost_negative_modifier,4,1048676,3,0,1,0,0
priest_does_not_boost_negative_modifier,22,3,1048676,0,1,0,0
priest_does_not_boost_negative_modifier,22,1,3,5,0,-500,-500
priest_does_not_boost_negative_modifier,22,1,1,5,0,-500,-500
priest_does_not_boost_negative_modifier,22,1,2,5,0,-500,-500
priest_does_not_boost_negative_modifier,22,2,1048676,0,1,0,0
priest_does_not_boost_negative_modifier,24,1,1048676,0,1,0,0
priest_does_not_boost_negative_modifier,24,1048676,3,0,1,0,0
elf_actual_attack_and_ability_timing,2,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,2,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,2,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,2,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,22,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,22,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,22,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,22,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,42,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,42,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,42,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,42,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,62,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,62,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,62,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,62,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,82,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,82,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,82,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,82,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,2,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,2,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,2,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,2,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,21,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,21,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,22,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,22,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,40,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,40,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,42,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,42,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,59,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,59,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,62,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,62,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,78,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,78,2,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,82,3,1048676,0,1,0,0
elf_actual_attack_and_ability_timing,82,1048676,1,0,1,0,0
elf_actual_attack_and_ability_timing,97,1,1048676,0,1,1000,1000
elf_actual_attack_and_ability_timing,97,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,2,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,2,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,2,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,2,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,22,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,22,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,22,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,22,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,42,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,42,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,42,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,42,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,62,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,62,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,62,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,62,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,82,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,82,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,82,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,82,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,2,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,2,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,2,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,2,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,20,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,20,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,22,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,22,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,38,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,38,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,42,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,42,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,56,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,56,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,62,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,62,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,74,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,74,3,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,82,2,1048676,0,1,0,0
rogue_actual_attack_and_ability_timing,82,1048676,1,0,1,0,0
rogue_actual_attack_and_ability_timing,92,1,1048676,0,1,1000,1000
rogue_actual_attack_and_ability_timing,92,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,2,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,2,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,2,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,2,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,22,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,22,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,22,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,22,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,42,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,42,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,42,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,42,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,62,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,62,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,62,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,62,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,82,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,82,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,82,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,82,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,2,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,2,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,2,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,2,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,18,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,20,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,21,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,22,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,34,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,38,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,40,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,42,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,50,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,56,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,59,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,62,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,66,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,74,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,78,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,82,1,1048676,0,1,1000,1000
elf_rogue_actual_attack_and_ability_timing,82,1048676,1,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,92,3,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,97,2,1048676,0,1,0,0
elf_rogue_actual_attack_and_ability_timing,98,1,1048676,0,1,1000,1000
