fight,subject,pressure,star,seed,subject_side,side,formation,instance,unit_id,cost,copies,purchase_gold,local_col,local_row,combat_col,combat_row,initiative,max_health,basic_damage,armor,resistance,basic_bonus_bp,skill_bonus_bp,all_bonus_bp,rate_bonus_bp,support_bonus_bp,movement_bonus_bp
1,Neris_Mage4,Warrior4_frontline,1,1103,0,1,Warrior4_frontline,3145733,wc_u_dragonkin_guardian,3,1,3,3,3,4,4,2,118000,4800,30,30,0,0,0,0,0,0
1,Neris_Mage4,Warrior4_frontline,1,1103,0,1,Warrior4_frontline,3145734,wc_u_elf_mage,3,1,3,3,1,4,6,5,69000,4800,8,30,0,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,0,Warrior4_frontline,4194305,wc_u_human_warrior,2,1,2,2,3,2,3,4,98000,7200,25,15,3000,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,0,Warrior4_frontline,4194306,wc_u_dwarf_warrior,2,1,2,4,3,4,3,8,100000,7000,25,15,3000,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,0,Warrior4_frontline,4194307,wc_u_orc_warrior,1,1,1,5,3,5,3,9,95000,6400,20,15,3000,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,0,Warrior4_frontline,4194308,wc_u_halfling_warrior,1,1,1,6,3,6,3,7,76000,5400,20,10,3000,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,0,Warrior4_frontline,4194309,wc_u_dragonkin_guardian,3,1,3,3,3,3,3,0,118000,4800,30,30,0,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,0,Warrior4_frontline,4194310,wc_u_elf_mage,3,1,3,3,1,3,1,6,69000,4800,8,30,0,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,1,Neris_Mage4,5242881,wc_u_human_guardian,1,1,1,3,3,4,4,1,115500,4800,50,15,0,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,1,Neris_Mage4,5242882,wc_u_dwarf_guardian,1,1,1,4,3,3,4,10,110000,4400,55,10,0,0,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,1,Neris_Mage4,5242883,wc_u_human_mage,2,1,2,1,1,6,6,3,68200,4500,8,20,0,4000,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,1,Neris_Mage4,5242884,wc_u_orc_mage,3,1,3,3,1,4,6,11,75000,5000,12,25,0,4000,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,1,Neris_Mage4,5242885,wc_u_elf_mage,3,1,3,4,1,3,6,2,69000,4800,8,30,0,4000,0,0,0,0
2,Neris_Mage4,Warrior4_frontline,1,1103,1,1,Neris_Mage4,5242886,wc_u_halfling_mage,2,1,2,6,1,1,6,5,57000,4200,8,20,0,4000,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,0,Neris_Mage4,6291457,wc_u_human_guardian,1,1,1,3,3,3,3,7,115500,4800,50,15,0,0,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,0,Neris_Mage4,6291458,wc_u_dwarf_guardian,1,1,1,4,3,4,3,11,110000,4400,55,10,0,0,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,0,Neris_Mage4,6291459,wc_u_human_mage,2,1,2,1,1,1,1,5,68200,4500,8,20,0,4000,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,0,Neris_Mage4,6291460,wc_u_orc_mage,3,1,3,3,1,3,1,8,75000,5000,12,25,0,4000,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,0,Neris_Mage4,6291461,wc_u_elf_mage,3,1,3,4,1,4,1,1,69000,4800,8,30,0,4000,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,0,Neris_Mage4,6291462,wc_u_halfling_mage,2,1,2,6,1,6,1,0,57000,4200,8,20,0,4000,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,1,Warrior4_frontline,7340033,wc_u_human_warrior,2,1,2,2,3,5,4,10,98000,7200,25,15,3000,0,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,1,Warrior4_frontline,7340034,wc_u_dwarf_warrior,2,1,2,4,3,3,4,6,100000,7000,25,15,3000,0,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,1,Warrior4_frontline,7340035,wc_u_orc_warrior,1,1,1,5,3,2,4,2,95000,6400,20,15,3000,0,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,1,Warrior4_frontline,7340036,wc_u_halfling_warrior,1,1,1,6,3,1,4,9,76000,5400,20,10,3000,0,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,1,Warrior4_frontline,7340037,wc_u_dragonkin_guardian,3,1,3,3,3,4,4,4,118000,4800,30,30,0,0,0,0,0,0
3,Neris_Mage4,Warrior4_frontline,1,2207,0,1,Warrior4_frontline,7340038,wc_u_elf_mage,3,1,3,3,1,4,6,3,69000,4800,8,30,0,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,0,Warrior4_frontline,8388609,wc_u_human_warrior,2,1,2,2,3,2,3,7,98000,7200,25,15,3000,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,0,Warrior4_frontline,8388610,wc_u_dwarf_warrior,2,1,2,4,3,4,3,11,100000,7000,25,15,3000,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,0,Warrior4_frontline,8388611,wc_u_orc_warrior,1,1,1,5,3,5,3,5,95000,6400,20,15,3000,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,0,Warrior4_frontline,8388612,wc_u_halfling_warrior,1,1,1,6,3,6,3,8,76000,5400,20,10,3000,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,0,Warrior4_frontline,8388613,wc_u_dragonkin_guardian,3,1,3,3,3,3,3,1,118000,4800,30,30,0,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,0,Warrior4_frontline,8388614,wc_u_elf_mage,3,1,3,3,1,3,1,0,69000,4800,8,30,0,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,1,Neris_Mage4,9437185,wc_u_human_guardian,1,1,1,3,3,4,4,10,115500,4800,50,15,0,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,1,Neris_Mage4,9437186,wc_u_dwarf_guardian,1,1,1,4,3,3,4,6,110000,4400,55,10,0,0,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,1,Neris_Mage4,9437187,wc_u_human_mage,2,1,2,1,1,6,6,2,68200,4500,8,20,0,4000,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,1,Neris_Mage4,9437188,wc_u_orc_mage,3,1,3,3,1,4,6,9,75000,5000,12,25,0,4000,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,1,Neris_Mage4,9437189,wc_u_elf_mage,3,1,3,4,1,3,6,4,69000,4800,8,30,0,4000,0,0,0,0
4,Neris_Mage4,Warrior4_frontline,1,2207,1,1,Neris_Mage4,9437190,wc_u_halfling_mage,2,1,2,6,1,1,6,3,57000,4200,8,20,0,4000,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,0,Neris_Mage4,10485761,wc_u_human_guardian,1,1,1,3,3,3,3,1,115500,4800,50,15,0,0,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,0,Neris_Mage4,10485762,wc_u_dwarf_guardian,1,1,1,4,3,4,3,9,110000,4400,55,10,0,0,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,0,Neris_Mage4,10485763,wc_u_human_mage,2,1,2,1,1,1,1,10,68200,4500,8,20,0,4000,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,0,Neris_Mage4,10485764,wc_u_orc_mage,3,1,3,3,1,3,1,0,75000,5000,12,25,0,4000,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,0,Neris_Mage4,10485765,wc_u_elf_mage,3,1,3,4,1,4,1,7,69000,4800,8,30,0,4000,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,0,Neris_Mage4,10485766,wc_u_halfling_mage,2,1,2,6,1,6,1,3,57000,4200,8,20,0,4000,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,1,Warrior4_frontline,11534337,wc_u_human_warrior,2,1,2,2,3,5,4,4,98000,7200,25,15,3000,0,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,1,Warrior4_frontline,11534338,wc_u_dwarf_warrior,2,1,2,4,3,3,4,5,100000,7000,25,15,3000,0,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,1,Warrior4_frontline,11534339,wc_u_orc_warrior,1,1,1,5,3,2,4,8,95000,6400,20,15,3000,0,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,1,Warrior4_frontline,11534340,wc_u_halfling_warrior,1,1,1,6,3,1,4,2,76000,5400,20,10,3000,0,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,1,Warrior4_frontline,11534341,wc_u_dragonkin_guardian,3,1,3,3,3,4,4,6,118000,4800,30,30,0,0,0,0,0,0
5,Neris_Mage4,Warrior4_frontline,1,3301,0,1,Warrior4_frontline,11534342,wc_u_elf_mage,3,1,3,3,1,4,6,11,69000,4800,8,30,0,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,0,Warrior4_frontline,12582913,wc_u_human_warrior,2,1,2,2,3,2,3,1,98000,7200,25,15,3000,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,0,Warrior4_frontline,12582914,wc_u_dwarf_warrior,2,1,2,4,3,4,3,9,100000,7000,25,15,3000,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,0,Warrior4_frontline,12582915,wc_u_orc_warrior,1,1,1,5,3,5,3,10,95000,6400,20,15,3000,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,0,Warrior4_frontline,12582916,wc_u_halfling_warrior,1,1,1,6,3,6,3,0,76000,5400,20,10,3000,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,0,Warrior4_frontline,12582917,wc_u_dragonkin_guardian,3,1,3,3,3,3,3,7,118000,4800,30,30,0,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,0,Warrior4_frontline,12582918,wc_u_elf_mage,3,1,3,3,1,3,1,3,69000,4800,8,30,0,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,1,Neris_Mage4,13631489,wc_u_human_guardian,1,1,1,3,3,4,4,4,115500,4800,50,15,0,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,1,Neris_Mage4,13631490,wc_u_dwarf_guardian,1,1,1,4,3,3,4,5,110000,4400,55,10,0,0,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,1,Neris_Mage4,13631491,wc_u_human_mage,2,1,2,1,1,6,6,8,68200,4500,8,20,0,4000,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,1,Neris_Mage4,13631492,wc_u_orc_mage,3,1,3,3,1,4,6,2,75000,5000,12,25,0,4000,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,1,Neris_Mage4,13631493,wc_u_elf_mage,3,1,3,4,1,3,6,6,69000,4800,8,30,0,4000,0,0,0,0
6,Neris_Mage4,Warrior4_frontline,1,3301,1,1,Neris_Mage4,13631494,wc_u_halfling_mage,2,1,2,6,1,1,6,11,57000,4200,8,20,0,4000,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,0,Neris_Mage4,14680065,wc_u_human_guardian,1,1,1,3,3,3,3,2,115500,4800,50,15,0,0,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,0,Neris_Mage4,14680066,wc_u_dwarf_guardian,1,1,1,4,3,4,3,9,110000,4400,55,10,0,0,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,0,Neris_Mage4,14680067,wc_u_human_mage,2,1,2,1,1,1,1,3,68200,4500,8,20,0,4000,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,0,Neris_Mage4,14680068,wc_u_orc_mage,3,1,3,3,1,3,1,0,75000,5000,12,25,0,4000,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,0,Neris_Mage4,14680069,wc_u_elf_mage,3,1,3,4,1,4,1,5,69000,4800,8,30,0,4000,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,0,Neris_Mage4,14680070,wc_u_halfling_mage,2,1,2,6,1,6,1,10,57000,4200,8,20,0,4000,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,1,Warrior4_frontline,15728641,wc_u_human_warrior,2,1,2,2,3,5,4,7,98000,7200,25,15,3000,0,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,1,Warrior4_frontline,15728642,wc_u_dwarf_warrior,2,1,2,4,3,3,4,11,100000,7000,25,15,3000,0,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,1,Warrior4_frontline,15728643,wc_u_orc_warrior,1,1,1,5,3,2,4,1,95000,6400,20,15,3000,0,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,1,Warrior4_frontline,15728644,wc_u_halfling_warrior,1,1,1,6,3,1,4,4,76000,5400,20,10,3000,0,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,1,Warrior4_frontline,15728645,wc_u_dragonkin_guardian,3,1,3,3,3,4,4,8,118000,4800,30,30,0,0,0,0,0,0
7,Neris_Mage4,Warrior4_frontline,1,4409,0,1,Warrior4_frontline,15728646,wc_u_elf_mage,3,1,3,3,1,4,6,6,69000,4800,8,30,0,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,0,Warrior4_frontline,16777217,wc_u_human_warrior,2,1,2,2,3,2,3,2,98000,7200,25,15,3000,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,0,Warrior4_frontline,16777218,wc_u_dwarf_warrior,2,1,2,4,3,4,3,9,100000,7000,25,15,3000,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,0,Warrior4_frontline,16777219,wc_u_orc_warrior,1,1,1,5,3,5,3,3,95000,6400,20,15,3000,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,0,Warrior4_frontline,16777220,wc_u_halfling_warrior,1,1,1,6,3,6,3,0,76000,5400,20,10,3000,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,0,Warrior4_frontline,16777221,wc_u_dragonkin_guardian,3,1,3,3,3,3,3,5,118000,4800,30,30,0,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,0,Warrior4_frontline,16777222,wc_u_elf_mage,3,1,3,3,1,3,1,10,69000,4800,8,30,0,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,1,Neris_Mage4,17825793,wc_u_human_guardian,1,1,1,3,3,4,4,7,115500,4800,50,15,0,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,1,Neris_Mage4,17825794,wc_u_dwarf_guardian,1,1,1,4,3,3,4,11,110000,4400,55,10,0,0,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,1,Neris_Mage4,17825795,wc_u_human_mage,2,1,2,1,1,6,6,1,68200,4500,8,20,0,4000,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,1,Neris_Mage4,17825796,wc_u_orc_mage,3,1,3,3,1,4,6,4,75000,5000,12,25,0,4000,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,1,Neris_Mage4,17825797,wc_u_elf_mage,3,1,3,4,1,3,6,8,69000,4800,8,30,0,4000,0,0,0,0
8,Neris_Mage4,Warrior4_frontline,1,4409,1,1,Neris_Mage4,17825798,wc_u_halfling_mage,2,1,2,6,1,1,6,6,57000,4200,8,20,0,4000,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,0,Neris_Mage4,18874369,wc_u_human_guardian,1,3,3,3,3,3,3,4,207900,8640,50,15,0,0,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,0,Neris_Mage4,18874370,wc_u_dwarf_guardian,1,3,3,4,3,4,3,8,198000,7920,55,10,0,0,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,0,Neris_Mage4,18874371,wc_u_human_mage,2,3,6,1,1,1,1,9,122760,8100,8,20,0,4000,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,0,Neris_Mage4,18874372,wc_u_orc_mage,3,3,9,3,1,3,1,7,135000,9000,12,25,0,4000,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,0,Neris_Mage4,18874373,wc_u_elf_mage,3,3,9,4,1,4,1,0,124200,8640,8,30,0,4000,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,0,Neris_Mage4,18874374,wc_u_halfling_mage,2,3,6,6,1,6,1,6,102600,7560,8,20,0,4000,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,1,Warrior4_frontline,19922945,wc_u_human_warrior,2,3,6,2,3,5,4,1,176400,12960,25,15,3000,0,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,1,Warrior4_frontline,19922946,wc_u_dwarf_warrior,2,3,6,4,3,3,4,10,180000,12600,25,15,3000,0,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,1,Warrior4_frontline,19922947,wc_u_orc_warrior,1,3,3,5,3,2,4,3,171000,11520,20,15,3000,0,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,1,Warrior4_frontline,19922948,wc_u_halfling_warrior,1,3,3,6,3,1,4,11,136800,9720,20,10,3000,0,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,1,Warrior4_frontline,19922949,wc_u_dragonkin_guardian,3,3,9,3,3,4,4,2,212400,8640,30,30,0,0,0,0,0,0
9,Neris_Mage4,Warrior4_frontline,2,1103,0,1,Warrior4_frontline,19922950,wc_u_elf_mage,3,3,9,3,1,4,6,5,124200,8640,8,30,0,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,0,Warrior4_frontline,20971521,wc_u_human_warrior,2,3,6,2,3,2,3,4,176400,12960,25,15,3000,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,0,Warrior4_frontline,20971522,wc_u_dwarf_warrior,2,3,6,4,3,4,3,8,180000,12600,25,15,3000,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,0,Warrior4_frontline,20971523,wc_u_orc_warrior,1,3,3,5,3,5,3,9,171000,11520,20,15,3000,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,0,Warrior4_frontline,20971524,wc_u_halfling_warrior,1,3,3,6,3,6,3,7,136800,9720,20,10,3000,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,0,Warrior4_frontline,20971525,wc_u_dragonkin_guardian,3,3,9,3,3,3,3,0,212400,8640,30,30,0,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,0,Warrior4_frontline,20971526,wc_u_elf_mage,3,3,9,3,1,3,1,6,124200,8640,8,30,0,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,1,Neris_Mage4,22020097,wc_u_human_guardian,1,3,3,3,3,4,4,1,207900,8640,50,15,0,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,1,Neris_Mage4,22020098,wc_u_dwarf_guardian,1,3,3,4,3,3,4,10,198000,7920,55,10,0,0,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,1,Neris_Mage4,22020099,wc_u_human_mage,2,3,6,1,1,6,6,3,122760,8100,8,20,0,4000,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,1,Neris_Mage4,22020100,wc_u_orc_mage,3,3,9,3,1,4,6,11,135000,9000,12,25,0,4000,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,1,Neris_Mage4,22020101,wc_u_elf_mage,3,3,9,4,1,3,6,2,124200,8640,8,30,0,4000,0,0,0,0
10,Neris_Mage4,Warrior4_frontline,2,1103,1,1,Neris_Mage4,22020102,wc_u_halfling_mage,2,3,6,6,1,1,6,5,102600,7560,8,20,0,4000,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,0,Neris_Mage4,23068673,wc_u_human_guardian,1,3,3,3,3,3,3,7,207900,8640,50,15,0,0,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,0,Neris_Mage4,23068674,wc_u_dwarf_guardian,1,3,3,4,3,4,3,11,198000,7920,55,10,0,0,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,0,Neris_Mage4,23068675,wc_u_human_mage,2,3,6,1,1,1,1,5,122760,8100,8,20,0,4000,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,0,Neris_Mage4,23068676,wc_u_orc_mage,3,3,9,3,1,3,1,8,135000,9000,12,25,0,4000,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,0,Neris_Mage4,23068677,wc_u_elf_mage,3,3,9,4,1,4,1,1,124200,8640,8,30,0,4000,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,0,Neris_Mage4,23068678,wc_u_halfling_mage,2,3,6,6,1,6,1,0,102600,7560,8,20,0,4000,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,1,Warrior4_frontline,24117249,wc_u_human_warrior,2,3,6,2,3,5,4,10,176400,12960,25,15,3000,0,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,1,Warrior4_frontline,24117250,wc_u_dwarf_warrior,2,3,6,4,3,3,4,6,180000,12600,25,15,3000,0,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,1,Warrior4_frontline,24117251,wc_u_orc_warrior,1,3,3,5,3,2,4,2,171000,11520,20,15,3000,0,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,1,Warrior4_frontline,24117252,wc_u_halfling_warrior,1,3,3,6,3,1,4,9,136800,9720,20,10,3000,0,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,1,Warrior4_frontline,24117253,wc_u_dragonkin_guardian,3,3,9,3,3,4,4,4,212400,8640,30,30,0,0,0,0,0,0
11,Neris_Mage4,Warrior4_frontline,2,2207,0,1,Warrior4_frontline,24117254,wc_u_elf_mage,3,3,9,3,1,4,6,3,124200,8640,8,30,0,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,0,Warrior4_frontline,25165825,wc_u_human_warrior,2,3,6,2,3,2,3,7,176400,12960,25,15,3000,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,0,Warrior4_frontline,25165826,wc_u_dwarf_warrior,2,3,6,4,3,4,3,11,180000,12600,25,15,3000,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,0,Warrior4_frontline,25165827,wc_u_orc_warrior,1,3,3,5,3,5,3,5,171000,11520,20,15,3000,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,0,Warrior4_frontline,25165828,wc_u_halfling_warrior,1,3,3,6,3,6,3,8,136800,9720,20,10,3000,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,0,Warrior4_frontline,25165829,wc_u_dragonkin_guardian,3,3,9,3,3,3,3,1,212400,8640,30,30,0,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,0,Warrior4_frontline,25165830,wc_u_elf_mage,3,3,9,3,1,3,1,0,124200,8640,8,30,0,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,1,Neris_Mage4,26214401,wc_u_human_guardian,1,3,3,3,3,4,4,10,207900,8640,50,15,0,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,1,Neris_Mage4,26214402,wc_u_dwarf_guardian,1,3,3,4,3,3,4,6,198000,7920,55,10,0,0,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,1,Neris_Mage4,26214403,wc_u_human_mage,2,3,6,1,1,6,6,2,122760,8100,8,20,0,4000,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,1,Neris_Mage4,26214404,wc_u_orc_mage,3,3,9,3,1,4,6,9,135000,9000,12,25,0,4000,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,1,Neris_Mage4,26214405,wc_u_elf_mage,3,3,9,4,1,3,6,4,124200,8640,8,30,0,4000,0,0,0,0
12,Neris_Mage4,Warrior4_frontline,2,2207,1,1,Neris_Mage4,26214406,wc_u_halfling_mage,2,3,6,6,1,1,6,3,102600,7560,8,20,0,4000,0,0,0,0
13,Neris_Mage4,Warrior4_frontline,2,3301,0,0,Neris_Mage4,27262977,wc_u_human_guardian,1,3,3,3,3,3,3,1,207900,8640,50,15,0,0,0,0,0,0
